[2025-03-27T20:10:19.774Z] IP: ::ffff:127.0.0.1 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: curl/7.81.0
[2025-03-27T20:10:43.780Z] IP: ::ffff:127.0.0.1 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: curl/7.81.0
[2025-03-27T20:30:53.295Z] IP: ::ffff:127.0.0.1 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: curl/7.81.0
[2025-03-27T20:31:39.507Z] IP: ::ffff:127.0.0.1 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: curl/7.81.0
[2025-03-27T20:33:14.999Z] IP: ::ffff:127.0.0.1 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: curl/7.81.0
[2025-03-27T20:35:32.394Z] IP: ::ffff:127.0.0.1 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: curl/7.81.0
[2025-03-27T20:59:14.477Z] IP: ::ffff:188.163.1.58 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36
[2025-03-27T21:02:45.916Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-03-27T21:02:46.336Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-03-27T21:03:24.008Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Python/3.11 aiohttp/3.11.11
[2025-03-27T21:03:37.265Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36
[2025-03-27T21:03:55.572Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
[2025-03-27T21:03:56.171Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: /favicon.ico | User-Agent: python-requests/2.25.1
[2025-03-27T21:05:11.302Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36
[2025-03-27T21:05:11.862Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36
[2025-03-27T21:05:12.579Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36
[2025-03-27T21:05:13.082Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36
[2025-03-27T21:05:53.616Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36
[2025-03-27T21:07:59.322Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1667.0 Safari/537.36
[2025-03-27T21:10:14.503Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (compatible; archive.org_bot +http://archive.org/details/archive.org_bot) Zeno/a8e8486 warc/v0.8.73
[2025-03-27T21:18:48.685Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
[2025-03-27T21:18:48.858Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
[2025-03-27T21:23:21.683Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (compatible; archive.org_bot +http://archive.org/details/archive.org_bot) Zeno/a8e8486 warc/v0.8.73
[2025-03-27T21:30:23.797Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
